东方明珠广播电视塔,半天,上海市,,,,,
上海野生动物园,一天,上海市,,,,,
上海科技馆,半天,上海市,,,,,
苏州园林（拙政园－留园－虎丘）,半天,苏州市,,,,,
苏州昆山周庄古镇景区,半天,苏州市,1,上海市,1.5,,
南京钟山—中山陵风景名胜区(明孝陵-音乐台-灵谷寺-梅花山-紫金山天文台),半天,南京市,,,,,
中央电视台无锡影视基地三国水浒城景区,半天,无锡市,,,,,
无锡灵山大佛景区,半天,无锡市,1,,,,
苏州吴江同里古镇景区,半天,苏州市,1,上海市,1.5,无锡市,1.5
南京夫子庙－秦淮河风光带(江南贡院-白鹭洲-中华门-瞻园-王谢故居),半天,南京市,,,,,
常州环球恐龙城景区(中华恐龙园-恐龙谷温泉-恐龙城大剧院),半天,常州市,,,,,
扬州瘦西湖风景区,半天,扬州市,,,,,
泰州姜堰区溱湖国家湿地公园,半天,泰州市,1,,,,
苏州市金鸡湖国家商务旅游示范区,半天,苏州市,,,,,
镇江三山风景名胜区（金山－北固山－焦山）,一天,镇江市,,,,,
无锡鼋头渚景区,半天,无锡市,,,,,
苏州吴中太湖旅游区（旺山－穹窿山－东山）,一天,苏州市,,,,,
苏州常熟沙家浜－虞山尚湖旅游区,一天,苏州市,,,,,
常州溧阳市天目湖景区(天目湖-南山竹海-御水温泉),一天,常州市,,,,,
镇江句容茅山景区,一天,镇江市,1,南京市,1.5,常州市,1.5
淮安市周恩来故里景区（周恩来纪念馆-周恩来故居-附马巷历史街区-河下古镇）,半天,淮安市,,,,,
